prompt_variant,source_variant,model_name,doc_id,language_locale,system,human_coherence,human_instruction_following,human_naturalness,judge_coherence,judge_instruction_following,judge_naturalness,human_mean_score,judge_mean_score
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),AyaExpanse-32B,7.0,6.0,7.0,6.0,6.0,6.0,6.666666666666667,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),AyaExpanse-8B,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Claude-4,7.0,5.0,7.0,6.0,7.0,7.0,6.333333333333333,6.666666666666667
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),CommandA,7.0,4.0,6.0,6.0,6.0,6.0,5.666666666666667,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),CommandR7B,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),DeepSeek-V3,7.0,6.0,7.0,6.0,6.0,6.0,6.666666666666667,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),GPT-4,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.666666666666667
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Gemini-2,7.0,6.0,7.0,7.0,6.0,6.0,6.666666666666667,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Gemma-3-12B,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Gemma-3-27B,7.0,5.0,7.0,6.0,7.0,6.0,6.333333333333333,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Llama-3,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Llama-4-Maverick,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Mistral-7B,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Mistral-Medium,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Qwen2,7.0,6.0,7.0,6.0,6.0,6.0,6.666666666666667,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Qwen3-235B,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),AyaExpanse-32B,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),AyaExpanse-8B,5.0,7.0,7.0,6.0,6.0,6.0,6.333333333333333,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),Claude-4,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),CommandA,4.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),CommandR7B,3.0,3.0,7.0,6.0,6.0,6.0,4.333333333333333,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),DeepSeek-V3,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),GPT-4,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),Gemini-2,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),Gemma-3-12B,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),Gemma-3-27B,6.0,7.0,7.0,6.0,7.0,6.0,6.666666666666667,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),Llama-3,6.0,6.0,7.0,6.0,6.0,4.0,6.333333333333333,5.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),Llama-4-Maverick,7.0,7.0,7.0,6.0,4.0,5.0,7.0,5.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),Mistral-7B,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),Mistral-Medium,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),Qwen2,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,a87d8ce85c5e14f8054f86aaa36f49ad,English (United States),Qwen3-235B,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),AyaExpanse-32B,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),AyaExpanse-8B,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),Claude-4,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),CommandA,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),CommandR7B,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),DeepSeek-V3,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),GPT-4,7.0,7.0,6.0,6.0,7.0,6.0,6.666666666666667,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),Gemini-2,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),Gemma-3-12B,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),Gemma-3-27B,6.0,7.0,5.0,6.0,6.0,6.0,6.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),Llama-3,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),Llama-4-Maverick,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),Mistral-7B,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),Mistral-Medium,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.333333333333333
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),Qwen2,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0
direct_prompt,openrouter_deepseek/deepseek-chat_direct_prompt,deepseek/deepseek-chat,e4c27cfc2c87eba9a17d237c0988dcbd,English (United States),Qwen3-235B,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.333333333333333
openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),AyaExpanse-32B,7.0,6.0,7.0,6.0,7.0,6.0,6.666666666666667,6.333333333333333
openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),AyaExpanse-8B,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.333333333333333
openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Claude-4,7.0,5.0,7.0,6.0,7.0,7.0,6.333333333333333,6.666666666666667
openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),CommandA,7.0,4.0,6.0,6.0,7.0,6.0,5.666666666666667,6.333333333333333
openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),CommandR7B,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.333333333333333
openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),DeepSeek-V3,7.0,6.0,7.0,7.0,7.0,7.0,6.666666666666667,7.0
openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),GPT-4,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.666666666666667
openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Gemini-2,7.0,6.0,7.0,6.0,7.0,7.0,6.666666666666667,6.666666666666667
openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Gemma-3-12B,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.333333333333333
openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Gemma-3-27B,7.0,5.0,7.0,6.0,6.0,7.0,6.333333333333333,6.333333333333333
openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Llama-3,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.666666666666667
openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Llama-4-Maverick,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.333333333333333
openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Mistral-7B,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.333333333333333
openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,openrouter_deepseek/deepseek-chat_aspect_specific_prompt_1,deepseek/deepseek-chat,9721721aee5763207020928a6be3d9b1,English (United States),Mistral-Medium,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.666666666666667
